id,user_id,target_id,count,character,press_time,release_time
217,1,1,9,t,1535650823076,1535650823219
218,1,1,9,a,1535650823194,1535650823354
219,1,1,9,r,1535650823298,1535650823466
220,1,1,9,u,1535650823426,1535650823546
221,1,1,10,i,1535650824058,1535650824179
222,1,1,10,n,1535650824306,1535650824410
223,1,1,10,u,1535650824346,1535650824466
224,1,1,10,m,1535650824555,1535650824658
225,1,1,10,o,1535650824619,1535650824779
226,1,1,10,a,1535650824755,1535650824899
227,1,1,10,r,1535650824900,1535650825042
228,1,1,10,u,1535650824986,1535650825082
229,1,1,10,k,1535650825186,1535650825331
230,1,1,10,e,1535650825226,1535650825331
231,1,1,10,b,1535650825394,1535650825498
232,1,1,10,a,1535650825475,1535650825603
233,1,1,10,b,1535650825603,1535650825787
234,1,1,10,o,1535650825666,1535650825810
235,1,1,10,u,1535650825746,1535650825850
236,1,1,10,n,1535650825995,1535650826074
237,1,1,10,i,1535650826035,1535650826178
238,1,1,10,a,1535650826076,1535650826179
239,1,1,10,t,1535650826181,1535650826299
240,1,1,10,a,1535650826300,1535650826442
241,1,1,10,r,1535650826402,1535650826570
242,1,1,10,u,1535650826506,1535650826650
243,1,1,11,i,1535650827548,1535650827627
244,1,1,11,n,1535650827714,1535650827794
245,1,1,11,u,1535650827771,1535650827875
246,1,1,11,m,1535650827938,1535650828059
247,1,1,11,o,1535650828003,1535650828163
248,1,1,11,a,1535650828164,1535650828322
249,1,1,11,r,1535650828290,1535650828451
250,1,1,11,u,1535650828346,1535650828452
251,1,1,11,k,1535650828538,1535650828683
252,1,1,11,e,1535650828595,1535650828684
253,1,1,11,b,1535650828778,1535650828882
254,1,1,11,a,1535650828842,1535650828987
255,1,1,11,b,1535650828988,1535650829155
256,1,1,11,o,1535650829050,1535650829178
257,1,1,11,u,1535650829115,1535650829179
258,1,1,11,n,1535650829314,1535650829419
259,1,1,11,i,1535650829379,1535650829546
260,1,1,11,a,1535650829474,1535650829578
261,1,1,11,t,1535650829547,1535650829691
262,1,1,11,a,1535650829666,1535650829826
263,1,1,11,r,1535650829786,1535650829978
264,1,1,11,u,1535650829914,1535650830034
265,2,2,0,i,1535652628905,1535652628967
266,2,2,0,n,1535652629165,1535652629316
267,2,2,0,u,1535652629277,1535652629367
268,2,2,0,m,1535652629576,1535652629655
269,2,2,0,o,1535652629609,1535652629723
270,2,2,0,a,1535652630084,1535652630208
271,2,2,0,r,1535652630246,1535652630346
272,2,2,0,u,1535652630386,1535652630457
273,2,2,0,k,1535652630615,1535652630703
274,2,2,0,e,1535652630732,1535652630841
275,2,2,0,b,1535652630878,1535652630964
276,2,2,0,a,1535652630981,1535652631092
277,2,2,0,b,1535652631129,1535652631245
278,2,2,0,o,1535652631211,1535652631331
279,2,2,0,u,1535652631374,1535652631454
280,2,2,0,n,1535652631550,1535652631682
281,2,2,0,i,1535652631656,1535652631756
282,2,2,0,a,1535652632006,1535652632108
283,2,2,0,t,1535652632273,1535652632351
284,2,2,0,a,1535652632343,1535652632471
285,2,2,0,r,1535652632503,1535652632610
286,2,2,0,u,1535652632624,1535652632688
287,2,2,1,i,1535652640224,1535652640308
288,2,2,1,n,1535652640377,1535652640556
289,2,2,1,u,1535652640505,1535652640597
290,2,2,1,m,1535652640722,1535652640841
291,2,2,1,o,1535652640793,1535652640880
292,2,2,1,a,1535652640973,1535652641068
293,2,2,1,r,1535652641091,1535652641191
294,2,2,1,u,1535652641196,1535652641254
295,2,2,1,k,1535652641610,1535652641686
296,2,2,1,e,1535652641728,1535652641808
297,2,2,1,b,1535652641874,1535652641951
298,2,2,1,a,1535652641989,1535652642069
299,2,2,1,b,1535652642095,1535652642209
300,2,2,1,o,1535652642216,1535652642315
301,2,2,1,u,1535652642313,1535652642397
302,2,2,1,n,1535652642484,1535652642616
303,2,2,1,i,1535652642585,1535652642654
304,2,2,1,a,1535652642722,1535652642805
305,2,2,1,t,1535652642864,1535652642961
306,2,2,1,a,1535652642965,1535652643067
307,2,2,1,r,1535652643087,1535652643164
308,2,2,1,u,1535652643216,1535652643274
309,2,2,2,i,1535652645080,1535652645143
310,2,2,2,n,1535652645222,1535652645381
311,2,2,2,u,1535652645355,1535652645419
312,2,2,2,m,1535652645574,1535652645728
313,2,2,2,o,1535652645674,1535652645778
314,2,2,2,a,1535652645883,1535652645981
315,2,2,2,r,1535652646019,1535652646101
316,2,2,2,u,1535652646132,1535652646188
317,2,2,2,k,1535652646325,1535652646399
318,2,2,2,e,1535652646425,1535652646514
319,2,2,2,b,1535652646567,1535652646638
320,2,2,2,a,1535652646652,1535652646744
321,2,2,2,b,1535652646769,1535652646874
322,2,2,2,o,1535652646851,1535652646960
323,2,2,2,u,1535652646996,1535652647082
324,2,2,2,n,1535652647219,1535652647329
325,2,2,2,i,1535652647364,1535652647443
326,2,2,2,a,1535652647572,1535652647674
327,2,2,2,t,1535652647697,1535652647782
328,2,2,2,a,1535652647802,1535652647884
329,2,2,2,r,1535652647906,1535652647985
330,2,2,2,u,1535652648065,1535652648130
331,2,2,3,i,1535652655898,1535652655970
332,2,2,3,n,1535652656090,1535652656260
333,2,2,3,u,1535652656222,1535652656295
334,2,2,3,m,1535652656412,1535652656532
335,2,2,3,o,1535652656497,1535652656602
336,2,2,3,a,1535652656709,1535652656803
337,2,2,3,r,1535652656857,1535652656975
338,2,2,3,u,1535652656991,1535652657060
339,2,2,3,k,1535652657319,1535652657384
340,2,2,3,e,1535652657436,1535652657504
341,2,2,3,b,1535652657540,1535652657601
342,2,2,3,a,1535652657690,1535652657753
343,2,2,3,b,1535652657975,1535652658116
344,2,2,3,o,1535652658088,1535652658194
345,2,2,3,u,1535652658256,1535652658336
346,2,2,3,n,1535652658461,1535652658585
347,2,2,3,i,1535652658555,1535652658635
348,2,2,3,a,1535652658746,1535652658858
349,2,2,3,t,1535652658872,1535652658969
350,2,2,3,a,1535652658992,1535652659077
351,2,2,3,r,1535652659211,1535652659282
352,2,2,3,u,1535652659347,1535652659427
353,2,2,4,i,1535652666758,1535652666836
354,2,2,4,n,1535652666921,1535652667093
355,2,2,4,u,1535652667048,1535652667141
356,2,2,4,m,1535652667264,1535652667367
357,2,2,4,o,1535652667318,1535652667409
358,2,2,4,a,1535652667450,1535652667560
359,2,2,4,r,1535652667562,1535652667675
360,2,2,4,u,1535652667685,1535652667749
361,2,2,4,k,1535652667850,1535652667937
362,2,2,4,e,1535652667931,1535652668030
363,2,2,4,b,1535652668086,1535652668156
364,2,2,4,a,1535652668179,1535652668266
365,2,2,4,b,1535652668344,1535652668464
366,2,2,4,o,1535652668473,1535652668561
367,2,2,4,u,1535652668599,1535652668658
368,2,2,4,n,1535652668767,1535652668869
369,2,2,4,i,1535652668841,1535652668927
370,2,2,4,a,1535652668986,1535652669094
371,2,2,4,t,1535652669100,1535652669209
372,2,2,4,a,1535652669475,1535652669602
373,2,2,4,r,1535652669616,1535652669720
374,2,2,4,u,1535652669762,1535652669831
375,2,2,5,i,1535652671432,1535652671511
376,2,2,5,n,1535652671630,1535652671766
377,2,2,5,u,1535652671723,1535652671806
378,2,2,5,m,1535652671924,1535652672030
379,2,2,5,o,1535652671999,1535652672071
380,2,2,5,a,1535652672124,1535652672244
381,2,2,5,r,1535652672230,1535652672343
382,2,2,5,u,1535652672361,1535652672430
383,2,2,5,k,1535652672557,1535652672637
384,2,2,5,e,1535652672652,1535652672739
385,2,2,5,b,1535652672791,1535652672852
386,2,2,5,a,1535652672853,1535652672958
387,2,2,5,b,1535652672969,1535652673077
388,2,2,5,o,1535652673059,1535652673163
389,2,2,5,u,1535652673161,1535652673253
390,2,2,5,n,1535652673352,1535652673473
391,2,2,5,i,1535652673455,1535652673557
392,2,2,5,a,1535652673796,1535652673933
393,2,2,5,t,1535652674152,1535652674226
394,2,2,5,a,1535652674400,1535652674527
395,2,2,5,r,1535652674585,1535652674667
396,2,2,5,u,1535652674682,1535652674749
397,2,2,6,i,1535654352890,1535654352971
